ISO	Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
AFG	Afghanistan	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	178.756	220.013	246.210	304.926	345.817	427.495	517.509	607.227	711.759	836.222	1,033.591	1,116.827	1,183.039	1,227.954	1,320.243	1,435.820	1,568.886	1,722.521	1,900.330	2,105.408	2,343.175	2015
AFG	Afghanistan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.367	4.553	5.146	6.167	6.925	8.556	10.297	12.066	15.325	17.890	20.293	20.170	20.616	20.079	19.454	21.056	22.497	23.906	25.544	27.412	29.612	2015
ALB	Albania	Gross domestic product, current prices	National currency	Billions	Source: IMF Staff Estimates Latest actual data: 2016. 2016 data is prelimitary. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2017	18.489	19.126	19.698	19.900	19.645	20.065	20.692	20.531	20.238	22.228	20.006	19.519	63.341	149.142	223.571	267.424	334.359	331.324	384.848	443.594	501.199	563.449	610.494	677.738	737.656	804.163	872.735	965.528	1,080.676	1,143.936	1,239.645	1,300.624	1,332.811	1,350.053	1,395.305	1,427.799	1,472.791	1,555.408	1,650.988	1,755.406	1,873.997	2,000.828	2,137.115	2016
ALB	Albania	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.946	2.229	2.296	2.319	2.290	2.339	2.587	2.566	2.530	2.779	2.221	1.333	0.843	1.461	2.361	2.882	3.200	2.259	2.560	3.209	3.483	3.928	4.348	5.611	7.185	8.052	8.905	10.675	12.901	12.093	11.938	12.896	12.323	12.784	13.246	11.338	11.866	13.001	14.120	14.877	15.810	16.742	17.725	2016
DZA	Algeria	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 08/2017	162.500	191.500	207.600	233.700	263.900	291.600	296.600	312.700	347.700	422.043	554.400	862.132	1,074.695	1,189.724	1,487.400	2,004.990	2,570.000	2,780.200	2,830.491	3,248.198	4,123.500	4,227.100	4,522.800	5,252.300	6,149.100	7,562.000	8,501.636	9,352.886	11,043.704	9,968.025	11,991.564	14,589.000	16,209.600	16,647.900	17,228.600	16,702.100	17,406.800	19,590.912	20,481.347	21,532.587	22,715.483	24,123.860	25,548.947	2016
DZA	Algeria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	42.346	44.372	44.780	47.529	51.513	61.132	61.535	63.300	51.664	52.558	61.892	46.670	49.217	50.963	42.426	42.066	46.941	48.178	48.188	48.845	54.749	54.745	56.761	67.864	85.327	103.198	117.027	134.977	171.001	137.054	161.207	200.251	209.016	209.755	213.810	165.874	159.046	175.493	179.872	185.396	191.746	199.642	207.289	2016
AGO	Angola	Gross domestic product, current prices	National currency	Billions	Source: Ministry of Planning Latest actual data: 2015 National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 08/2017	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.001	0.015	0.835	1.752	2.556	17.171	91.666	197.111	544.012	1,058.585	1,640.824	2,460.825	3,358.541	4,636.801	6,316.164	5,988.675	7,579.547	9,780.098	11,011.428	12,056.300	12,462.471	12,321.461	15,595.706	20,575.460	24,660.100	28,534.300	32,834.609	37,013.810	41,311.891	2015
AGO	Angola	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	5.934	5.554	5.554	5.788	6.135	7.559	7.077	8.089	8.775	10.208	11.236	10.891	8.398	6.095	4.438	5.539	6.535	7.675	6.506	6.153	9.130	8.936	12.497	14.189	19.641	28.234	41.789	60.449	84.178	75.492	82.471	104.116	115.342	124.912	126.777	102.962	95.335	124.034	138.238	140.281	145.161	150.379	154.462	2015
ATG	Antigua and Barbuda	Gross domestic product, current prices	National currency	Billions	Source: Central Bank Latest actual data: 2016. Preliminary National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal GDP is measured at market prices and real GDP is measured at factor cost, hence the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2017	0.355	0.399	0.444	0.492	0.563	0.650	0.784	0.910	1.076	1.185	1.241	1.301	1.348	1.445	1.591	1.559	1.711	1.838	1.965	2.069	2.241	2.162	2.199	2.310	2.483	2.760	3.124	3.541	3.695	3.305	3.112	3.084	3.271	3.221	3.456	3.685	3.942	4.145	4.321	4.518	4.701	4.891	5.088	2016
ATG	Antigua and Barbuda	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.131	0.148	0.164	0.182	0.208	0.241	0.290	0.337	0.399	0.439	0.459	0.482	0.499	0.535	0.589	0.577	0.634	0.681	0.728	0.766	0.830	0.801	0.815	0.856	0.920	1.022	1.157	1.311	1.368	1.224	1.152	1.142	1.211	1.193	1.280	1.365	1.460	1.535	1.600	1.673	1.741	1.811	1.885	2016
ARG	Argentina	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 08/2017	--	--	--	--	0.001	0.006	0.011	0.025	0.120	3.517	74.710	196.088	245.668	256.365	279.150	280.080	295.120	317.549	324.242	307.673	308.491	291.738	337.905	407.425	485.115	582.538	715.904	896.980	1,149.646	1,247.929	1,661.721	2,179.024	2,637.914	3,348.308	4,579.086	5,854.014	8,050.245	10,337.004	12,542.726	14,700.863	16,872.014	19,124.599	21,533.073	2016
ARG	Argentina	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	226.569	184.014	91.376	112.721	126.563	95.593	114.949	117.854	138.044	88.567	153.205	205.515	247.987	256.365	279.150	280.080	295.120	317.549	324.242	307.673	308.491	291.738	108.731	138.151	164.922	199.273	232.892	287.920	363.545	334.633	424.728	527.644	579.666	611.471	563.614	631.621	544.735	619.872	639.224	712.039	765.096	816.178	869.926	2016
ARM	Armenia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.295	3.897	187.065	522.256	661.209	804.336	955.385	987.444	1,031.338	1,175.877	1,362.472	1,624.643	1,907.945	2,242.881	2,656.190	3,149.283	3,568.228	3,141.651	3,460.203	3,777.946	4,266.461	4,555.638	4,828.626	5,043.633	5,076.343	5,394.843	5,745.589	6,154.675	6,599.289	7,096.611	7,675.695	2016
ARM	Armenia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.108	0.835	0.648	1.287	1.597	1.639	1.892	1.845	1.912	2.118	2.376	2.807	3.577	4.900	6.384	9.206	11.662	8.648	9.260	10.142	10.619	11.121	11.610	10.553	10.565	11.037	11.524	12.103	12.710	13.401	14.241	2016
AUS	Australia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2016. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014/15. The base period is 2014Q3-2015Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 08/2017	143.115	164.091	184.029	199.086	224.343	249.077	270.770	304.350	346.069	388.978	414.608	416.628	432.666	455.275	482.760	512.182	543.573	573.422	605.503	638.155	685.633	728.172	780.511	829.014	892.547	962.037	1,037.960	1,131.875	1,236.007	1,260.147	1,359.053	1,457.282	1,507.217	1,558.926	1,605.770	1,634.225	1,696.013	1,800.816	1,877.126	1,975.622	2,068.094	2,181.386	2,297.585	2016
AUS	Australia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	163.082	188.592	187.230	179.651	197.326	174.553	181.653	213.306	271.393	308.276	323.929	324.594	318.139	309.640	353.223	379.781	425.588	426.662	381.104	411.822	399.276	376.928	424.522	540.421	657.431	734.846	781.947	949.146	1,057.113	997.159	1,249.648	1,504.225	1,561.175	1,509.705	1,449.521	1,229.938	1,261.645	1,390.150	1,482.282	1,564.290	1,631.440	1,708.357	1,786.260	2016
AUT	Austria	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2017	75.811	80.704	86.630	92.316	96.914	102.143	107.362	111.471	119.357	127.673	137.217	147.109	155.414	160.540	168.548	176.183	182.133	188.310	195.828	203.418	213.196	220.096	226.303	230.999	241.505	253.009	266.478	282.347	291.930	286.188	294.628	308.630	317.117	322.539	330.418	339.896	349.344	362.937	376.078	389.102	402.785	416.867	431.052	2016
AUT	Austria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	80.743	69.965	69.954	70.874	66.857	68.470	97.157	121.499	133.293	132.965	166.493	174.045	195.069	189.958	203.514	240.747	236.828	212.610	217.994	217.010	196.998	197.123	213.725	261.220	300.264	315.188	334.603	386.995	429.638	398.602	390.940	429.431	407.677	428.382	439.073	377.157	386.587	409.316	442.416	459.826	476.754	491.702	506.258	2016
AZE	Azerbaijan	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 Notes: Data prior to 2005 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.005	0.031	0.709	2.134	2.732	3.158	3.312	3.775	4.718	5.316	6.062	7.147	8.530	12.523	18.746	28.361	38.006	35.602	42.465	51.158	53.968	57.708	58.978	54.352	59.988	66.652	72.783	78.542	84.675	91.315	98.910	2016
AZE	Azerbaijan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.193	1.309	2.258	2.417	3.177	3.963	4.280	4.581	5.273	5.475	6.232	7.276	8.682	13.273	21.027	33.090	46.378	44.289	52.913	64.819	68.700	73.557	75.194	50.818	37.556	39.207	42.813	46.201	49.809	53.715	58.182	2016
